Subject_number,participant,OS,frameRate,trialNumber,Pair_type,Pass,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,similarity,response_time
1,31515,Win32,54.74352658,81,0,1,131,5,5,2043,2163,absent_patch/patch0002043.jpg,absent_patch/patch0002163.jpg,3,1.3829
1,31515,Win32,54.74352658,82,0,1,131,5,5,2163,2175,absent_patch/patch0002163.jpg,absent_patch/patch0002175.jpg,6,1.1958
1,31515,Win32,54.74352658,83,0,1,131,5,5,2175,2211,absent_patch/patch0002175.jpg,absent_patch/patch0002211.jpg,5,1.3507
1,31515,Win32,54.74352658,84,0,1,131,5,5,2247,2367,absent_patch/patch0002247.jpg,absent_patch/patch0002367.jpg,4,15.2149
1,31515,Win32,54.74352658,85,0,1,131,5,5,2043,2271,absent_patch/patch0002043.jpg,absent_patch/patch0002271.jpg,5,2.3172
1,31515,Win32,54.74352658,86,0,1,131,5,5,2175,1947,absent_patch/patch0002175.jpg,absent_patch/patch0001947.jpg,6,1.4333
1,31515,Win32,54.74352658,87,1,1,131,5,5,1,2211,present_patch/cong_131_3_a.jpg,absent_patch/patch0002211.jpg,4,1.5125
1,31515,Win32,54.74352658,88,0,1,131,5,5,2283,2079,absent_patch/patch0002283.jpg,absent_patch/patch0002079.jpg,5,1.9382
1,31515,Win32,54.74352658,89,0,1,131,5,5,2151,2151,absent_patch/patch0002151.jpg,absent_patch/patch0002151.jpg,0,0.7538
1,31515,Win32,54.74352658,90,0,1,131,5,5,2367,2163,absent_patch/patch0002367.jpg,absent_patch/patch0002163.jpg,3,1.4019
1,31515,Win32,54.74352658,91,0,1,131,5,5,1947,2247,absent_patch/patch0001947.jpg,absent_patch/patch0002247.jpg,6,1.2093
1,31515,Win32,54.74352658,92,0,1,131,5,5,2151,2211,absent_patch/patch0002151.jpg,absent_patch/patch0002211.jpg,1,1.2378
1,31515,Win32,54.74352658,93,0,1,131,5,5,2247,2247,absent_patch/patch0002247.jpg,absent_patch/patch0002247.jpg,1,1.2845
1,31515,Win32,54.74352658,94,0,1,131,5,5,2043,2247,absent_patch/patch0002043.jpg,absent_patch/patch0002247.jpg,2,2.3803
1,31515,Win32,54.74352658,95,0,1,131,5,5,2223,1947,absent_patch/patch0002223.jpg,absent_patch/patch0001947.jpg,1,1.0347
1,31515,Win32,54.74352658,96,0,1,131,5,5,2043,2367,absent_patch/patch0002043.jpg,absent_patch/patch0002367.jpg,4,1.7727
1,31515,Win32,54.74352658,97,0,1,131,5,5,1947,2151,absent_patch/patch0001947.jpg,absent_patch/patch0002151.jpg,1,1.0203
1,31515,Win32,54.74352658,98,0,1,131,5,5,1947,2031,absent_patch/patch0001947.jpg,absent_patch/patch0002031.jpg,7,0.5245
1,31515,Win32,54.74352658,99,0,1,131,5,5,2151,2031,absent_patch/patch0002151.jpg,absent_patch/patch0002031.jpg,7,0.6358
1,31515,Win32,54.74352658,100,0,1,131,5,5,2223,2031,absent_patch/patch0002223.jpg,absent_patch/patch0002031.jpg,7,0.6025
1,31515,Win32,54.74352658,101,1,1,131,5,5,1,1947,present_patch/cong_131_3_a.jpg,absent_patch/patch0001947.jpg,4,1.1016
1,31515,Win32,54.74352658,102,0,1,131,5,5,1947,2367,absent_patch/patch0001947.jpg,absent_patch/patch0002367.jpg,6,2.6732
1,31515,Win32,54.74352658,103,1,1,131,5,5,1,2043,present_patch/cong_131_3_a.jpg,absent_patch/patch0002043.jpg,5,1.3683
1,31515,Win32,54.74352658,104,0,1,131,5,5,2043,2043,absent_patch/patch0002043.jpg,absent_patch/patch0002043.jpg,0,0.5346
1,31515,Win32,54.74352658,105,0,1,131,5,5,2043,2175,absent_patch/patch0002043.jpg,absent_patch/patch0002175.jpg,6,1.1894
1,31515,Win32,54.74352658,106,0,1,131,5,5,2043,2283,absent_patch/patch0002043.jpg,absent_patch/patch0002283.jpg,6,1.3029
1,31515,Win32,54.74352658,107,0,1,131,5,5,2247,2211,absent_patch/patch0002247.jpg,absent_patch/patch0002211.jpg,6,1.2837
1,31515,Win32,54.74352658,108,0,1,131,5,5,2223,2283,absent_patch/patch0002223.jpg,absent_patch/patch0002283.jpg,2,1.2359
1,31515,Win32,54.74352658,109,0,1,131,5,5,2283,2151,absent_patch/patch0002283.jpg,absent_patch/patch0002151.jpg,3,1.3332
1,31515,Win32,54.74352658,110,1,1,131,5,5,1,2247,present_patch/cong_131_3_a.jpg,absent_patch/patch0002247.jpg,2,0.99
1,31515,Win32,54.74352658,111,0,1,131,5,5,2283,2031,absent_patch/patch0002283.jpg,absent_patch/patch0002031.jpg,7,0.9071
1,31515,Win32,54.74352658,112,0,1,131,5,5,2043,1947,absent_patch/patch0002043.jpg,absent_patch/patch0001947.jpg,4,1.9305
1,31515,Win32,54.74352658,113,0,1,131,5,5,2043,2223,absent_patch/patch0002043.jpg,absent_patch/patch0002223.jpg,3,0.9042
1,31515,Win32,54.74352658,114,0,1,131,5,5,2079,2271,absent_patch/patch0002079.jpg,absent_patch/patch0002271.jpg,3,0.8522
1,31515,Win32,54.74352658,115,1,1,131,5,5,2271,1,absent_patch/patch0002271.jpg,present_patch/cong_131_3_a.jpg,5,1.386
1,31515,Win32,54.74352658,116,0,1,131,5,5,2043,2151,absent_patch/patch0002043.jpg,absent_patch/patch0002151.jpg,3,1.8361
1,31515,Win32,54.74352658,117,0,1,131,5,5,1947,2271,absent_patch/patch0001947.jpg,absent_patch/patch0002271.jpg,4,0.7489
1,31515,Win32,54.74352658,118,1,1,131,5,5,1,1,present_patch/cong_131_3_a.jpg,present_patch/cong_131_3_a.jpg,0,0.8696
1,31515,Win32,54.74352658,119,0,1,131,5,5,2211,2283,absent_patch/patch0002211.jpg,absent_patch/patch0002283.jpg,2,0.9537
1,31515,Win32,54.74352658,120,0,1,131,5,5,2163,2079,absent_patch/patch0002163.jpg,absent_patch/patch0002079.jpg,5,0.7188
1,31515,Win32,54.74352658,121,1,2,131,5,5,2163,1,absent_patch/patch0002163.jpg,present_patch/cong_131_3_a.jpg,5,5.285
1,31515,Win32,54.74352658,122,0,2,131,5,5,2043,2211,absent_patch/patch0002043.jpg,absent_patch/patch0002211.jpg,3,8.4175
1,31515,Win32,54.74352658,123,0,2,131,5,5,2247,2175,absent_patch/patch0002247.jpg,absent_patch/patch0002175.jpg,6,11.6616
1,31515,Win32,54.74352658,124,1,2,131,5,5,1,2175,present_patch/cong_131_3_a.jpg,absent_patch/patch0002175.jpg,1,15.1252
1,31515,Win32,54.74352658,125,0,2,131,5,5,2271,2211,absent_patch/patch0002271.jpg,absent_patch/patch0002211.jpg,4,19.2976
1,31515,Win32,54.74352658,126,0,2,131,5,5,2283,2175,absent_patch/patch0002283.jpg,absent_patch/patch0002175.jpg,5,22.9403
1,31515,Win32,54.74352658,127,0,2,131,5,5,2223,1947,absent_patch/patch0002223.jpg,absent_patch/patch0001947.jpg,3,26.9042
1,31515,Win32,54.74352658,128,0,2,131,5,5,2283,2163,absent_patch/patch0002283.jpg,absent_patch/patch0002163.jpg,4,32.3103
